ProductName,IPAddress,Vendor,DeviceType,Length,EncapsulationVersion,ProductCode,Revision,Status,SerialNumber,ProductNameLength,State
1756-EN2T/D,10.39.60.50,Rockwell Automation/Allen-Bradley,Communications Adapter,45,1,166,10.10,96,0xe59ce8,11,3
1769-L30ERMS/A LOGIX5370SAFETY,10.39.60.28,Rockwell Automation/Allen-Bradley,Programmable Logic Controller,64,1,176,32.13,48,0x60d232f3,30,3
1769-L23E-QB1 Ethernet Port,10.39.60.32,Rockwell Automation/Allen-Bradley,Communications Adapter,61,1,190,20.19,48,0xc00b0398,27,3
C20A232302,10.39.60.5,"Rockwell Software, Inc.",Communications Adapter,44,1,115,12.1,96,0x22cc7d25,10,11
5069-L306ERS2/B,10.39.60.78,Rockwell Automation/Allen-Bradley,Programmable Logic Controller,49,1,235,33.15,12384,0xd08e3c38,15,3
1756-L81ES/B,10.39.60.15,Rockwell Automation/Allen-Bradley,Programmable Logic Controller,46,1,211,33.11,12640,0x10217e9,12,3
JBERGMANN10A,10.39.60.11,"Rockwell Software, Inc.",Communications Adapter,46,1,115,13.1,96,0x294d6243,12,11
BBATES10A,10.39.60.36,"Rockwell Software, Inc.",Communications Adapter,43,1,115,13.1,96,0xa856669,9,11
CSHIPLEY10B,10.39.60.21,"Rockwell Software, Inc.",Communications Adapter,45,1,115,13.1,96,0x3003550c,11,11
TTURNER10A,10.39.60.47,"Rockwell Software, Inc.",Communications Adapter,44,1,115,13.1,96,0x8361a0f,10,11
BRENGDEV10A,10.39.30.126,"Rockwell Software, Inc.",Communications Adapter,45,1,115,12.1,96,0x5a23870,11,11
TTURNER10A,10.39.30.38,"Rockwell Software, Inc.",Communications Adapter,44,1,115,13.1,96,0x8361a0f,10,11
TLYNCH10B,10.39.30.111,"Rockwell Software, Inc.",Communications Adapter,43,1,115,13.1,96,0x3155138,9,11
MHARTMAN10B,10.39.30.25,"Rockwell Software, Inc.",Communications Adapter,45,1,115,13.1,96,0x9246365,11,11
JBERGMANN10A,10.39.30.71,"Rockwell Software, Inc.",Communications Adapter,46,1,115,13.1,96,0x294d6243,12,11
TTURNER10A,172.20.0.1,"Rockwell Software, Inc.",Communications Adapter,44,1,115,13.1,96,0x8361a0f,10,11
